Measure,Time,Ethnicity,Ethnicity_type,Geography_name,Geography_code,Geography_type,Value,Numerator,Denominator
% of national ethnic population in this LA area,2011,Other,ONS 2011 5+1,Hillingdon,E09000017,Local Authority,1.44,8091,563696
% of local population in this ethnic group,2011,Indian,ONS 2011 18+1,Hounslow,E09000018,Local Authority,18.96,48161,253957
% of local population in this ethnic group,2011,Pakistani,ONS 2011 18+1,Hounslow,E09000018,Local Authority,5.39,13676,253957
% of local population in this ethnic group,2011,Bangladeshi,ONS 2011 18+1,Hounslow,E09000018,Local Authority,0.86,2189,253957
% of local population in this ethnic group,2011,Chinese,ONS 2011 18+1,Hounslow,E09000018,Local Authority,0.95,2405,253957
% of local population in this ethnic group,2011,Asian Other,ONS 2011 18+1,Hounslow,E09000018,Local Authority,8.2,20826,253957
% of local population in this ethnic group,2011,Black African,ONS 2011 18+1,Hounslow,E09000018,Local Authority,4.25,10787,253957
% of local population in this ethnic group,2011,Black Caribbean,ONS 2011 18+1,Hounslow,E09000018,Local Authority,1.33,3381,253957
% of local population in this ethnic group,2011,Black Other,ONS 2011 18+1,Hounslow,E09000018,Local Authority,1.04,2645,253957
% of local population in this ethnic group,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Hounslow,E09000018,Local Authority,0.9,2273,253957
% of local population in this ethnic group,2011,Mixed White and Black African,ONS 2011 18+1,Hounslow,E09000018,Local Authority,0.68,1730,253957
% of local population in this ethnic group,2011,Mixed White and Asian,ONS 2011 18+1,Hounslow,E09000018,Local Authority,1.33,3390,253957
% of local population in this ethnic group,2011,Mixed Other,ONS 2011 18+1,Hounslow,E09000018,Local Authority,1.16,2956,253957
% of local population in this ethnic group,2011,White British,ONS 2011 18+1,Hounslow,E09000018,Local Authority,37.91,96264,253957
% of local population in this ethnic group,2011,White Irish,ONS 2011 18+1,Hounslow,E09000018,Local Authority,1.88,4775,253957
% of local population in this ethnic group,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Hounslow,E09000018,Local Authority,0.07,183,253957
% of local population in this ethnic group,2011,White Other,ONS 2011 18+1,Hounslow,E09000018,Local Authority,11.53,29283,253957
% of local population in this ethnic group,2011,Arab,ONS 2011 18+1,Hounslow,E09000018,Local Authority,1.43,3638,253957
% of local population in this ethnic group,2011,Other ethnic group,ONS 2011 18+1,Hounslow,E09000018,Local Authority,2.12,5395,253957
% of local population in this ethnic group,2011,Asian,ONS 2011 5+1,Hounslow,E09000018,Local Authority,34.36,87257,253957
% of local population in this ethnic group,2011,Black,ONS 2011 5+1,Hounslow,E09000018,Local Authority,6.62,16813,253957
% of local population in this ethnic group,2011,Mixed,ONS 2011 5+1,Hounslow,E09000018,Local Authority,4.08,10349,253957
% of local population in this ethnic group,2011,White,ONS 2011 5+1,Hounslow,E09000018,Local Authority,51.39,130505,253957
% of local population in this ethnic group,2011,Other,ONS 2011 5+1,Hounslow,E09000018,Local Authority,3.56,9033,253957
% of national ethnic population in this LA area,2011,Indian,ONS 2011 18+1,Hounslow,E09000018,Local Authority,3.41,48161,1412958
% of national ethnic population in this LA area,2011,Pakistani,ONS 2011 18+1,Hounslow,E09000018,Local Authority,1.22,13676,1124511
% of national ethnic population in this LA area,2011,Bangladeshi,ONS 2011 18+1,Hounslow,E09000018,Local Authority,0.49,2189,447201
% of national ethnic population in this LA area,2011,Chinese,ONS 2011 18+1,Hounslow,E09000018,Local Authority,0.61,2405,393141
% of national ethnic population in this LA area,2011,Asian Other,ONS 2011 18+1,Hounslow,E09000018,Local Authority,2.49,20826,835720
% of national ethnic population in this LA area,2011,Black African,ONS 2011 18+1,Hounslow,E09000018,Local Authority,1.09,10787,989628
% of national ethnic population in this LA area,2011,Black Caribbean,ONS 2011 18+1,Hounslow,E09000018,Local Authority,0.57,3381,594825
% of national ethnic population in this LA area,2011,Black Other,ONS 2011 18+1,Hounslow,E09000018,Local Authority,0.94,2645,280437
% of national ethnic population in this LA area,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Hounslow,E09000018,Local Authority,0.53,2273,426715
% of national ethnic population in this LA area,2011,Mixed White and Black African,ONS 2011 18+1,Hounslow,E09000018,Local Authority,1.04,1730,165974
% of national ethnic population in this LA area,2011,Mixed White and Asian,ONS 2011 18+1,Hounslow,E09000018,Local Authority,0.99,3390,341727
% of national ethnic population in this LA area,2011,Mixed Other,ONS 2011 18+1,Hounslow,E09000018,Local Authority,1.02,2956,289984
% of national ethnic population in this LA area,2011,White British,ONS 2011 18+1,Hounslow,E09000018,Local Authority,0.21,96264,45134686
% of national ethnic population in this LA area,2011,White Irish,ONS 2011 18+1,Hounslow,E09000018,Local Authority,0.9,4775,531087
% of national ethnic population in this LA area,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Hounslow,E09000018,Local Authority,0.32,183,57680
% of national ethnic population in this LA area,2011,White Other,ONS 2011 18+1,Hounslow,E09000018,Local Authority,1.18,29283,2485942
% of national ethnic population in this LA area,2011,Arab,ONS 2011 18+1,Hounslow,E09000018,Local Authority,1.58,3638,230600
% of national ethnic population in this LA area,2011,Other ethnic group,ONS 2011 18+1,Hounslow,E09000018,Local Authority,1.62,5395,333096
% of national ethnic population in this LA area,2011,Asian,ONS 2011 5+1,Hounslow,E09000018,Local Authority,2.07,87257,4213531
% of national ethnic population in this LA area,2011,Black,ONS 2011 5+1,Hounslow,E09000018,Local Authority,0.9,16813,1864890
% of national ethnic population in this LA area,2011,Mixed,ONS 2011 5+1,Hounslow,E09000018,Local Authority,0.85,10349,1224400
% of national ethnic population in this LA area,2011,White,ONS 2011 5+1,Hounslow,E09000018,Local Authority,0.27,130505,48209395
% of national ethnic population in this LA area,2011,Other,ONS 2011 5+1,Hounslow,E09000018,Local Authority,1.6,9033,563696
% of local population in this ethnic group,2011,Indian,ONS 2011 18+1,Islington,E09000019,Local Authority,1.71,3534,206125
% of local population in this ethnic group,2011,Pakistani,ONS 2011 18+1,Islington,E09000019,Local Authority,0.46,951,206125
% of local population in this ethnic group,2011,Bangladeshi,ONS 2011 18+1,Islington,E09000019,Local Authority,2.26,4662,206125
% of local population in this ethnic group,2011,Chinese,ONS 2011 18+1,Islington,E09000019,Local Authority,2.16,4457,206125
% of local population in this ethnic group,2011,Asian Other,ONS 2011 18+1,Islington,E09000019,Local Authority,2.63,5430,206125
% of local population in this ethnic group,2011,Black African,ONS 2011 18+1,Islington,E09000019,Local Authority,6.12,12622,206125
% of local population in this ethnic group,2011,Black Caribbean,ONS 2011 18+1,Islington,E09000019,Local Authority,3.85,7943,206125
% of local population in this ethnic group,2011,Black Other,ONS 2011 18+1,Islington,E09000019,Local Authority,2.78,5729,206125
% of local population in this ethnic group,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Islington,E09000019,Local Authority,2.06,4236,206125
% of local population in this ethnic group,2011,Mixed White and Black African,ONS 2011 18+1,Islington,E09000019,Local Authority,0.93,1912,206125
% of local population in this ethnic group,2011,Mixed White and Asian,ONS 2011 18+1,Islington,E09000019,Local Authority,1.44,2964,206125
% of local population in this ethnic group,2011,Mixed Other,ONS 2011 18+1,Islington,E09000019,Local Authority,2.05,4227,206125
% of local population in this ethnic group,2011,White British,ONS 2011 18+1,Islington,E09000019,Local Authority,47.7,98322,206125
% of local population in this ethnic group,2011,White Irish,ONS 2011 18+1,Islington,E09000019,Local Authority,3.95,8140,206125
% of local population in this ethnic group,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Islington,E09000019,Local Authority,0.08,163,206125
% of local population in this ethnic group,2011,White Other,ONS 2011 18+1,Islington,E09000019,Local Authority,16.44,33890,206125
% of local population in this ethnic group,2011,Arab,ONS 2011 18+1,Islington,E09000019,Local Authority,0.92,1893,206125
% of local population in this ethnic group,2011,Other ethnic group,ONS 2011 18+1,Islington,E09000019,Local Authority,2.45,5050,206125
% of local population in this ethnic group,2011,Asian,ONS 2011 5+1,Islington,E09000019,Local Authority,9.23,19034,206125
% of local population in this ethnic group,2011,Black,ONS 2011 5+1,Islington,E09000019,Local Authority,12.76,26294,206125
% of local population in this ethnic group,2011,Mixed,ONS 2011 5+1,Islington,E09000019,Local Authority,6.47,13339,206125
% of local population in this ethnic group,2011,White,ONS 2011 5+1,Islington,E09000019,Local Authority,68.17,140515,206125
% of local population in this ethnic group,2011,Other,ONS 2011 5+1,Islington,E09000019,Local Authority,3.37,6943,206125
% of national ethnic population in this LA area,2011,Indian,ONS 2011 18+1,Islington,E09000019,Local Authority,0.25,3534,1412958
% of national ethnic population in this LA area,2011,Pakistani,ONS 2011 18+1,Islington,E09000019,Local Authority,0.08,951,1124511
% of national ethnic population in this LA area,2011,Bangladeshi,ONS 2011 18+1,Islington,E09000019,Local Authority,1.04,4662,447201
% of national ethnic population in this LA area,2011,Chinese,ONS 2011 18+1,Islington,E09000019,Local Authority,1.13,4457,393141
% of national ethnic population in this LA area,2011,Asian Other,ONS 2011 18+1,Islington,E09000019,Local Authority,0.65,5430,835720
% of national ethnic population in this LA area,2011,Black African,ONS 2011 18+1,Islington,E09000019,Local Authority,1.28,12622,989628
% of national ethnic population in this LA area,2011,Black Caribbean,ONS 2011 18+1,Islington,E09000019,Local Authority,1.34,7943,594825
% of national ethnic population in this LA area,2011,Black Other,ONS 2011 18+1,Islington,E09000019,Local Authority,2.04,5729,280437
% of national ethnic population in this LA area,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Islington,E09000019,Local Authority,0.99,4236,426715
% of national ethnic population in this LA area,2011,Mixed White and Black African,ONS 2011 18+1,Islington,E09000019,Local Authority,1.15,1912,165974
% of national ethnic population in this LA area,2011,Mixed White and Asian,ONS 2011 18+1,Islington,E09000019,Local Authority,0.87,2964,341727
% of national ethnic population in this LA area,2011,Mixed Other,ONS 2011 18+1,Islington,E09000019,Local Authority,1.46,4227,289984
% of national ethnic population in this LA area,2011,White British,ONS 2011 18+1,Islington,E09000019,Local Authority,0.22,98322,45134686
% of national ethnic population in this LA area,2011,White Irish,ONS 2011 18+1,Islington,E09000019,Local Authority,1.53,8140,531087
% of national ethnic population in this LA area,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Islington,E09000019,Local Authority,0.28,163,57680
% of national ethnic population in this LA area,2011,White Other,ONS 2011 18+1,Islington,E09000019,Local Authority,1.36,33890,2485942
% of national ethnic population in this LA area,2011,Arab,ONS 2011 18+1,Islington,E09000019,Local Authority,0.82,1893,230600
% of national ethnic population in this LA area,2011,Other ethnic group,ONS 2011 18+1,Islington,E09000019,Local Authority,1.52,5050,333096
% of national ethnic population in this LA area,2011,Asian,ONS 2011 5+1,Islington,E09000019,Local Authority,0.45,19034,4213531
% of national ethnic population in this LA area,2011,Black,ONS 2011 5+1,Islington,E09000019,Local Authority,1.41,26294,1864890
% of national ethnic population in this LA area,2011,Mixed,ONS 2011 5+1,Islington,E09000019,Local Authority,1.09,13339,1224400
% of national ethnic population in this LA area,2011,White,ONS 2011 5+1,Islington,E09000019,Local Authority,0.29,140515,48209395
% of national ethnic population in this LA area,2011,Other,ONS 2011 5+1,Islington,E09000019,Local Authority,1.23,6943,563696
% of local population in this ethnic group,2011,Indian,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,1.62,2577,158649
% of local population in this ethnic group,2011,Pakistani,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.57,911,158649
% of local population in this ethnic group,2011,Bangladeshi,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.53,836,158649
% of local population in this ethnic group,2011,Chinese,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,2.5,3968,158649
% of local population in this ethnic group,2011,Asian Other,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,4.77,7569,158649
% of local population in this ethnic group,2011,Black African,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,3.49,5536,158649
% of local population in this ethnic group,2011,Black Caribbean,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,2.05,3257,158649
% of local population in this ethnic group,2011,Black Other,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.97,1540,158649
% of local population in this ethnic group,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,1.07,1695,158649
% of local population in this ethnic group,2011,Mixed White and Black African,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.72,1148,158649
% of local population in this ethnic group,2011,Mixed White and Asian,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,1.9,3021,158649
% of local population in this ethnic group,2011,Mixed Other,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,1.97,3122,158649
% of local population in this ethnic group,2011,White British,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,39.25,62271,158649
% of local population in this ethnic group,2011,White Irish,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,2.34,3715,158649
% of local population in this ethnic group,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.08,119,158649
% of local population in this ethnic group,2011,White Other,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,28.94,45912,158649
% of local population in this ethnic group,2011,Arab,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,4.07,6455,158649
% of local population in this ethnic group,2011,Other ethnic group,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,3.15,4997,158649
% of local population in this ethnic group,2011,Asian,ONS 2011 5+1,Kensington and Chelsea,E09000020,Local Authority,10,15861,158649
% of local population in this ethnic group,2011,Black,ONS 2011 5+1,Kensington and Chelsea,E09000020,Local Authority,6.51,10333,158649
% of local population in this ethnic group,2011,Mixed,ONS 2011 5+1,Kensington and Chelsea,E09000020,Local Authority,5.66,8986,158649
% of local population in this ethnic group,2011,White,ONS 2011 5+1,Kensington and Chelsea,E09000020,Local Authority,70.61,112017,158649
% of local population in this ethnic group,2011,Other,ONS 2011 5+1,Kensington and Chelsea,E09000020,Local Authority,7.22,11452,158649
% of national ethnic population in this LA area,2011,Indian,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.18,2577,1412958
% of national ethnic population in this LA area,2011,Pakistani,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.08,911,1124511
% of national ethnic population in this LA area,2011,Bangladeshi,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.19,836,447201
% of national ethnic population in this LA area,2011,Chinese,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,1.01,3968,393141
% of national ethnic population in this LA area,2011,Asian Other,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.91,7569,835720
% of national ethnic population in this LA area,2011,Black African,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.56,5536,989628
% of national ethnic population in this LA area,2011,Black Caribbean,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.55,3257,594825
% of national ethnic population in this LA area,2011,Black Other,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.55,1540,280437
% of national ethnic population in this LA area,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.4,1695,426715
% of national ethnic population in this LA area,2011,Mixed White and Black African,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.69,1148,165974
% of national ethnic population in this LA area,2011,Mixed White and Asian,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.88,3021,341727
% of national ethnic population in this LA area,2011,Mixed Other,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,1.08,3122,289984
% of national ethnic population in this LA area,2011,White British,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.14,62271,45134686
% of national ethnic population in this LA area,2011,White Irish,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.7,3715,531087
% of national ethnic population in this LA area,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,0.21,119,57680
% of national ethnic population in this LA area,2011,White Other,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,1.85,45912,2485942
% of national ethnic population in this LA area,2011,Arab,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,2.8,6455,230600
% of national ethnic population in this LA area,2011,Other ethnic group,ONS 2011 18+1,Kensington and Chelsea,E09000020,Local Authority,1.5,4997,333096
% of national ethnic population in this LA area,2011,Asian,ONS 2011 5+1,Kensington and Chelsea,E09000020,Local Authority,0.38,15861,4213531
% of national ethnic population in this LA area,2011,Black,ONS 2011 5+1,Kensington and Chelsea,E09000020,Local Authority,0.55,10333,1864890
% of national ethnic population in this LA area,2011,Mixed,ONS 2011 5+1,Kensington and Chelsea,E09000020,Local Authority,0.73,8986,1224400
% of national ethnic population in this LA area,2011,White,ONS 2011 5+1,Kensington and Chelsea,E09000020,Local Authority,0.23,112017,48209395
% of national ethnic population in this LA area,2011,Other,ONS 2011 5+1,Kensington and Chelsea,E09000020,Local Authority,2.03,11452,563696
% of local population in this ethnic group,2011,Indian,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,3.95,6325,160060
% of local population in this ethnic group,2011,Pakistani,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,1.88,3009,160060
% of local population in this ethnic group,2011,Bangladeshi,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.56,892,160060
% of local population in this ethnic group,2011,Chinese,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,1.8,2883,160060
% of local population in this ethnic group,2011,Asian Other,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,8.15,13043,160060
% of local population in this ethnic group,2011,Black African,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,1.63,2616,160060
% of local population in this ethnic group,2011,Black Caribbean,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.64,1027,160060
% of local population in this ethnic group,2011,Black Other,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.24,378,160060
% of local population in this ethnic group,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.77,1238,160060
% of local population in this ethnic group,2011,Mixed White and Black African,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.44,700,160060
% of local population in this ethnic group,2011,Mixed White and Asian,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,1.56,2500,160060
% of local population in this ethnic group,2011,Mixed Other,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,1.14,1831,160060
% of local population in this ethnic group,2011,White British,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,63.11,101015,160060
% of local population in this ethnic group,2011,White Irish,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,1.7,2718,160060
% of local population in this ethnic group,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.06,95,160060
% of local population in this ethnic group,2011,White Other,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,9.62,15391,160060
% of local population in this ethnic group,2011,Arab,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,1.52,2439,160060
% of local population in this ethnic group,2011,Other ethnic group,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,1.22,1960,160060
% of local population in this ethnic group,2011,Asian,ONS 2011 5+1,Kingston upon Thames,E09000021,Local Authority,16.34,26152,160060
% of local population in this ethnic group,2011,Black,ONS 2011 5+1,Kingston upon Thames,E09000021,Local Authority,2.51,4021,160060
% of local population in this ethnic group,2011,Mixed,ONS 2011 5+1,Kingston upon Thames,E09000021,Local Authority,3.92,6269,160060
% of local population in this ethnic group,2011,White,ONS 2011 5+1,Kingston upon Thames,E09000021,Local Authority,74.48,119219,160060
% of local population in this ethnic group,2011,Other,ONS 2011 5+1,Kingston upon Thames,E09000021,Local Authority,2.75,4399,160060
% of national ethnic population in this LA area,2011,Indian,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.45,6325,1412958
% of national ethnic population in this LA area,2011,Pakistani,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.27,3009,1124511
% of national ethnic population in this LA area,2011,Bangladeshi,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.2,892,447201
% of national ethnic population in this LA area,2011,Chinese,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.73,2883,393141
% of national ethnic population in this LA area,2011,Asian Other,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,1.56,13043,835720
% of national ethnic population in this LA area,2011,Black African,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.26,2616,989628
% of national ethnic population in this LA area,2011,Black Caribbean,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.17,1027,594825
% of national ethnic population in this LA area,2011,Black Other,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.13,378,280437
% of national ethnic population in this LA area,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.29,1238,426715
% of national ethnic population in this LA area,2011,Mixed White and Black African,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.42,700,165974
% of national ethnic population in this LA area,2011,Mixed White and Asian,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.73,2500,341727
% of national ethnic population in this LA area,2011,Mixed Other,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.63,1831,289984
% of national ethnic population in this LA area,2011,White British,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.22,101015,45134686
% of national ethnic population in this LA area,2011,White Irish,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.51,2718,531087
% of national ethnic population in this LA area,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.16,95,57680
% of national ethnic population in this LA area,2011,White Other,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.62,15391,2485942
% of national ethnic population in this LA area,2011,Arab,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,1.06,2439,230600
% of national ethnic population in this LA area,2011,Other ethnic group,ONS 2011 18+1,Kingston upon Thames,E09000021,Local Authority,0.59,1960,333096
% of national ethnic population in this LA area,2011,Asian,ONS 2011 5+1,Kingston upon Thames,E09000021,Local Authority,0.62,26152,4213531
% of national ethnic population in this LA area,2011,Black,ONS 2011 5+1,Kingston upon Thames,E09000021,Local Authority,0.22,4021,1864890
% of national ethnic population in this LA area,2011,Mixed,ONS 2011 5+1,Kingston upon Thames,E09000021,Local Authority,0.51,6269,1224400
% of national ethnic population in this LA area,2011,White,ONS 2011 5+1,Kingston upon Thames,E09000021,Local Authority,0.25,119219,48209395
% of national ethnic population in this LA area,2011,Other,ONS 2011 5+1,Kingston upon Thames,E09000021,Local Authority,0.78,4399,563696
% of local population in this ethnic group,2011,Indian,ONS 2011 18+1,Lambeth,E09000022,Local Authority,1.64,4983,303086
% of local population in this ethnic group,2011,Pakistani,ONS 2011 18+1,Lambeth,E09000022,Local Authority,1.01,3072,303086
% of local population in this ethnic group,2011,Bangladeshi,ONS 2011 18+1,Lambeth,E09000022,Local Authority,0.73,2221,303086
% of local population in this ethnic group,2011,Chinese,ONS 2011 18+1,Lambeth,E09000022,Local Authority,1.51,4573,303086
% of local population in this ethnic group,2011,Asian Other,ONS 2011 18+1,Lambeth,E09000022,Local Authority,2.01,6089,303086
% of local population in this ethnic group,2011,Black African,ONS 2011 18+1,Lambeth,E09000022,Local Authority,11.61,35187,303086
% of local population in this ethnic group,2011,Black Caribbean,ONS 2011 18+1,Lambeth,E09000022,Local Authority,9.53,28886,303086
% of local population in this ethnic group,2011,Black Other,ONS 2011 18+1,Lambeth,E09000022,Local Authority,4.77,14469,303086
% of local population in this ethnic group,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Lambeth,E09000022,Local Authority,2.74,8302,303086
% of local population in this ethnic group,2011,Mixed White and Black African,ONS 2011 18+1,Lambeth,E09000022,Local Authority,1.42,4301,303086
% of local population in this ethnic group,2011,Mixed White and Asian,ONS 2011 18+1,Lambeth,E09000022,Local Authority,1.18,3574,303086
% of local population in this ethnic group,2011,Mixed Other,ONS 2011 18+1,Lambeth,E09000022,Local Authority,2.3,6983,303086
% of local population in this ethnic group,2011,White British,ONS 2011 18+1,Lambeth,E09000022,Local Authority,39.02,118250,303086
% of local population in this ethnic group,2011,White Irish,ONS 2011 18+1,Lambeth,E09000022,Local Authority,2.46,7456,303086
% of local population in this ethnic group,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Lambeth,E09000022,Local Authority,0.06,195,303086
% of local population in this ethnic group,2011,White Other,ONS 2011 18+1,Lambeth,E09000022,Local Authority,15.55,47124,303086
% of local population in this ethnic group,2011,Arab,ONS 2011 18+1,Lambeth,E09000022,Local Authority,0.57,1728,303086
% of local population in this ethnic group,2011,Other ethnic group,ONS 2011 18+1,Lambeth,E09000022,Local Authority,1.88,5693,303086
% of local population in this ethnic group,2011,Asian,ONS 2011 5+1,Lambeth,E09000022,Local Authority,6.91,20938,303086
% of local population in this ethnic group,2011,Black,ONS 2011 5+1,Lambeth,E09000022,Local Authority,25.91,78542,303086
% of local population in this ethnic group,2011,Mixed,ONS 2011 5+1,Lambeth,E09000022,Local Authority,7.64,23160,303086
% of local population in this ethnic group,2011,White,ONS 2011 5+1,Lambeth,E09000022,Local Authority,57.09,173025,303086
% of local population in this ethnic group,2011,Other,ONS 2011 5+1,Lambeth,E09000022,Local Authority,2.45,7421,303086
% of national ethnic population in this LA area,2011,Indian,ONS 2011 18+1,Lambeth,E09000022,Local Authority,0.35,4983,1412958
% of national ethnic population in this LA area,2011,Pakistani,ONS 2011 18+1,Lambeth,E09000022,Local Authority,0.27,3072,1124511
% of national ethnic population in this LA area,2011,Bangladeshi,ONS 2011 18+1,Lambeth,E09000022,Local Authority,0.5,2221,447201
% of national ethnic population in this LA area,2011,Chinese,ONS 2011 18+1,Lambeth,E09000022,Local Authority,1.16,4573,393141
% of national ethnic population in this LA area,2011,Asian Other,ONS 2011 18+1,Lambeth,E09000022,Local Authority,0.73,6089,835720
% of national ethnic population in this LA area,2011,Black African,ONS 2011 18+1,Lambeth,E09000022,Local Authority,3.56,35187,989628
% of national ethnic population in this LA area,2011,Black Caribbean,ONS 2011 18+1,Lambeth,E09000022,Local Authority,4.86,28886,594825
% of national ethnic population in this LA area,2011,Black Other,ONS 2011 18+1,Lambeth,E09000022,Local Authority,5.16,14469,280437
% of national ethnic population in this LA area,2011,Mixed White and Black Caribbean,ONS 2011 18+1,Lambeth,E09000022,Local Authority,1.95,8302,426715
% of national ethnic population in this LA area,2011,Mixed White and Black African,ONS 2011 18+1,Lambeth,E09000022,Local Authority,2.59,4301,165974
% of national ethnic population in this LA area,2011,Mixed White and Asian,ONS 2011 18+1,Lambeth,E09000022,Local Authority,1.05,3574,341727
% of national ethnic population in this LA area,2011,Mixed Other,ONS 2011 18+1,Lambeth,E09000022,Local Authority,2.41,6983,289984
% of national ethnic population in this LA area,2011,White British,ONS 2011 18+1,Lambeth,E09000022,Local Authority,0.26,118250,45134686
% of national ethnic population in this LA area,2011,White Irish,ONS 2011 18+1,Lambeth,E09000022,Local Authority,1.4,7456,531087
% of national ethnic population in this LA area,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,Lambeth,E09000022,Local Authority,0.34,195,57680
% of national ethnic population in this LA area,2011,White Other,ONS 2011 18+1,Lambeth,E09000022,Local Authority,1.9,47124,2485942
% of national ethnic population in this LA area,2011,Arab,ONS 2011 18+1,Lambeth,E09000022,Local Authority,0.75,1728,230600
